user_id,skill_name,correct
377,27,0
377,27,0
778,1,0
778,1,0
778,1,1
778,3,0
778,3,0
778,3,1
778,11,1
778,79,1
778,80,1
778,81,0
778,81,1
830,56,1
830,3,0
830,3,0
830,3,0
830,3,0
830,3,0
830,3,1
49,1,0
49,1,0
49,1,0
49,1,1
49,3,0
49,3,0
49,3,0
49,3,1
49,11,0
49,11,1
49,79,1
49,80,0
49,80,0
49,80,0
49,80,0
49,80,1
49,81,1
49,13,1
49,13,1
49,13,0
49,13,0
49,13,0
49,13,1
49,12,1
49,12,1
49,12,1
49,12,1
49,78,0
49,78,1
49,47,1
49,47,1
49,47,0
49,47,1
49,48,1
49,49,1
49,50,1
49,50,0
49,50,1
762,56,1
762,75,1
295,56,1
295,75,1
295,76,0
295,76,0
295,76,1
295,2,1
762,76,1
295,77,0
295,77,0
295,77,0
762,2,0
295,77,0
762,2,0
295,77,1
762,2,0
771,56,1
295,1,0
295,1,0
295,1,0
336,56,1
295,1,0
771,75,1
762,2,0
710,56,1
762,2,0
762,2,1
762,77,0
762,77,0
762,77,0
762,77,1
295,1,0
295,1,0
453,56,1
418,56,1
453,75,0
418,75,0
418,75,1
453,75,0
453,75,1
418,76,1
453,76,1
418,2,0
418,2,0
685,56,1
418,2,0
418,77,0
418,77,0
418,77,0
418,77,0
418,77,0
418,77,0
837,56,1
837,75,0
837,75,1
837,76,1
837,2,1
418,3,0
418,77,0
418,77,1
837,77,0
837,77,0
837,77,0
837,77,0
837,77,0
837,77,0
837,77,0
418,2,0
418,2,0
837,77,0
837,77,1
180,56,1
180,75,1
180,76,1
713,56,1
756,56,1
488,56,1
713,75,1
180,77,0
180,77,0
488,75,0
180,77,0
713,76,0
488,75,0
713,76,1
488,75,0
488,75,0
713,2,1
180,77,0
713,77,0
488,75,0
488,76,1
180,77,0
637,56,1
637,75,1
637,76,1
637,2,1
637,77,0
637,77,0
637,77,0
344,75,1
713,77,0
637,77,0
637,77,0
637,77,0
637,77,0
713,77,0
756,75,1
756,76,1
756,2,0
102,56,1
756,2,0
756,2,0
756,2,0
28,56,1
344,56,1
441,56,1
344,76,1
441,75,1
441,76,1
441,2,1
209,56,1
441,77,0
344,2,0
441,77,0
441,77,0
441,77,0
441,77,0
344,2,0
441,77,0
441,77,0
441,77,0
441,77,0
344,2,0
441,77,0
616,56,1
344,2,0
116,3,0
116,3,0
344,2,0
357,56,1
116,3,0
344,2,0
357,75,1
344,2,0
528,56,1
441,77,1
357,76,1
344,2,1
528,75,1
357,2,0
344,77,0
542,56,1
357,2,0
357,2,1
357,77,0
357,77,0
344,77,0
357,77,0
726,56,1
357,77,0
357,77,0
357,77,0
344,77,0
357,77,0
357,77,0
344,77,0
726,75,1
344,77,0
726,76,1
542,76,1
726,2,0
344,77,1
726,2,0
542,2,0
726,2,0
542,2,0
542,2,0
116,1,0
116,1,0
542,77,0
585,56,1
5,56,1
542,77,0
5,75,0
344,1,0
5,75,1
344,1,1
726,2,1
5,76,0
5,76,0
5,76,0
5,76,0
5,76,0
5,76,1
756,2,0
5,2,0
5,2,0
5,2,1
5,77,0
5,77,0
102,75,1
5,77,0
5,77,0
726,77,0
5,77,0
726,77,0
5,77,0
528,76,1
5,77,1
726,77,1
528,2,0
419,56,1
419,75,1
419,76,1
528,2,0
528,2,1
419,2,1
419,77,0
419,77,0
528,77,0
528,77,0
419,77,0
419,77,0
528,77,0
419,77,1
528,77,0
528,77,1
344,3,0
344,3,0
838,56,1
603,56,1
304,56,1
513,56,1
814,56,1
513,75,1
814,75,1
513,76,1
513,2,0
513,2,0
528,1,0
814,76,0
814,76,1
528,1,1
344,3,1
603,75,1
814,2,0
814,2,1
814,77,0
513,2,0
814,77,0
513,2,0
344,11,1
513,2,0
814,77,1
528,3,0
513,2,0
513,2,0
513,2,0
344,79,1
603,76,1
528,3,0
603,2,0
528,3,0
344,80,1
711,56,1
603,2,0
586,56,1
711,75,0
839,56,1
586,75,1
711,75,1
513,77,0
513,77,0
586,76,0
839,75,1
513,77,1
586,76,1
513,2,0
513,2,0
586,2,0
711,76,1
839,76,1
586,2,0
839,2,0
586,2,1
344,81,1
839,2,1
711,2,0
586,77,0
586,77,0
586,77,0
528,3,1
711,2,0
586,77,0
839,77,0
839,77,0
839,77,0
711,2,1
839,77,0
586,77,0
344,13,1
711,77,0
839,77,0
711,77,0
586,77,0
814,1,0
344,13,1
711,77,1
814,1,0
344,13,0
344,13,1
586,77,0
586,77,0
553,56,1
553,75,1
711,1,0
711,1,0
814,1,0
814,1,0
734,56,1
517,56,1
517,75,1
839,3,0
839,3,0
711,1,0
711,1,0
814,1,0
517,76,1
814,1,1
347,56,1
517,2,1
703,56,1
517,77,0
703,75,1
517,77,0
517,77,0
703,76,1
517,77,0
703,2,1
711,1,0
711,1,1
839,3,1
814,3,0
825,56,1
711,3,0
711,3,0
470,56,1
530,75,1
530,56,1
470,75,1
825,75,1
470,76,1
814,3,1
763,56,1
528,11,0
470,2,0
528,11,0
470,2,1
528,11,0
528,11,0
530,2,1
528,11,0
470,77,1
530,77,0
530,77,0
814,11,1
530,77,0
530,77,0
530,77,0
498,56,1
530,76,1
470,79,0
259,56,1
470,79,0
814,79,1
763,75,1
347,75,1
259,75,1
528,11,1
528,79,1
814,80,0
814,80,1
763,76,1
528,80,0
763,2,1
528,80,0
646,56,1
646,75,1
259,76,1
814,81,1
259,2,1
814,13,0
259,77,0
259,77,0
259,77,1
814,13,1
763,77,0
763,77,1
814,13,1
814,13,1
814,12,1
814,12,1
814,12,1
814,12,1
221,56,1
221,75,1
221,76,1
221,2,1
221,77,0
221,77,0
115,56,1
100,56,1
814,78,0
115,75,1
814,78,0
100,75,0
814,78,1
100,75,1
115,76,0
100,76,1
115,76,0
115,76,0
100,2,0
115,76,0
115,76,1
100,2,0
814,47,0
115,2,0
540,56,1
540,75,1
115,2,1
814,47,1
115,77,0
540,76,1
115,77,0
540,2,0
814,47,1
540,2,0
528,80,0
540,2,1
528,80,0
100,2,0
540,77,0
540,77,0
540,77,0
100,2,0
115,77,0
540,77,1
322,56,1
540,1,0
540,1,0
322,75,1
540,1,0
540,1,0
540,1,0
540,1,0
528,80,0
322,76,1
115,77,0
322,2,0
115,77,0
322,2,0
115,77,0
488,2,1
322,2,0
322,2,0
488,77,0
528,80,0
488,77,0
322,77,0
322,77,0
322,77,0
488,77,0
322,77,0
322,77,0
488,77,0
100,2,0
100,2,0
115,77,0
528,80,0
528,80,0
488,77,0
488,77,0
100,2,0
540,3,0
115,77,0
100,2,0
540,3,0
488,77,0
100,77,0
488,77,0
100,77,0
540,3,0
100,77,0
488,77,0
540,3,0
488,77,0
100,77,0
100,77,1
540,79,0
488,75,1
540,79,1
100,2,0
100,2,0
540,80,0
100,2,0
100,2,0
115,1,0
115,1,0
100,2,1
838,75,0
838,75,1
814,47,1
838,76,1
838,2,0
540,12,0
814,48,1
115,77,0
838,2,0
115,77,0
115,77,0
115,77,0
528,80,1
655,56,1
594,56,1
838,77,0
814,49,0
838,77,0
814,49,0
594,75,0
655,75,1
594,75,1
838,77,0
90,56,1
838,77,0
838,77,0
838,77,0
594,76,0
594,76,1
838,77,0
838,77,0
594,2,1
838,77,0
736,56,1
594,77,0
90,75,0
594,77,0
814,49,1
736,75,1
594,77,0
594,77,1
90,75,1
562,56,1
90,76,0
736,76,1
655,76,1
90,76,1
736,2,0
736,2,1
655,2,1
736,77,0
814,50,1
736,77,0
655,77,0
90,2,0
655,77,1
736,77,0
736,77,0
814,50,1
528,81,0
736,77,0
562,75,1
528,81,0
528,81,0
622,56,1
439,56,1
47,56,1
439,75,0
47,75,1
47,76,1
47,2,1
47,77,0
47,77,0
47,77,0
47,77,0
439,75,1
47,77,0
439,76,1
685,75,1
439,2,0
439,2,0
439,2,0
439,2,0
439,2,0
439,2,0
439,2,0
47,77,0
47,77,0
439,2,0
47,77,0
439,2,0
528,81,1
47,77,0
47,77,0
47,77,0
685,76,1
47,77,0
47,77,0
685,2,0
685,2,0
439,2,0
439,2,0
439,2,0
528,13,1
439,2,0
439,2,0
439,2,0
439,2,0
439,2,0
685,2,0
685,2,0
439,2,0
225,56,1
685,2,1
439,2,0
439,2,0
439,2,0
528,13,0
439,2,0
439,2,0
439,2,0
439,2,1
528,13,0
439,77,0
439,77,0
439,77,0
439,77,0
439,77,0
439,77,0
439,77,0
439,77,0
528,13,1
439,77,0
439,77,0
153,56,1
439,77,0
439,77,1
153,75,1
528,13,0
685,77,0
528,13,0
685,77,0
528,13,1
685,77,0
345,56,1
685,77,0
439,1,0
439,1,0
511,56,1
439,1,0
153,76,1
439,1,0
439,1,0
439,1,0
511,75,1
153,2,1
439,1,0
439,1,0
439,1,0
439,1,0
439,1,0
439,1,0
153,77,0
153,77,0
439,1,0
153,77,0
439,1,0
439,1,0
657,56,1
153,77,0
685,77,0
657,75,1
685,77,1
657,76,1
153,77,1
309,56,1
657,2,0
657,2,1
657,77,0
657,77,0
657,77,0
657,77,0
657,77,0
814,8,1
657,77,0
528,12,0
528,12,0
657,77,0
657,77,0
657,77,1
528,12,0
439,1,0
528,12,0
439,1,0
439,1,0
439,1,0
439,1,0
146,56,1
511,76,1
294,56,1
814,82,1
511,2,0
511,2,0
146,75,0
294,75,0
814,82,1
511,2,1
294,75,1
511,77,0
511,77,0
511,77,0
146,75,1
511,77,0
511,77,0
294,76,1
146,76,1
146,2,0
511,77,0
814,82,1
294,2,1
146,2,1
146,77,0
294,77,0
294,77,0
146,77,0
146,77,0
146,77,0
294,77,0
363,56,1
294,77,0
94,79,0
94,79,1
387,56,1
439,1,0
146,77,0
363,75,0
146,77,0
294,77,1
146,77,0
363,75,0
363,75,1
504,56,1
387,75,1
504,75,1
387,76,1
146,3,0
146,3,0
387,2,1
363,76,1
146,77,0
363,2,1
390,56,1
363,77,0
387,77,0
390,75,1
387,77,0
387,77,0
363,77,0
363,77,0
387,77,0
390,76,1
363,77,0
390,2,0
363,77,0
387,77,0
390,2,1
387,77,0
390,77,0
363,1,0
363,1,0
363,1,0
390,77,0
390,77,0
390,77,1
839,1,0
363,77,0
363,77,0
363,77,0
439,3,0
439,3,0
827,56,1
439,3,0
439,3,0
827,75,1
387,77,0
439,3,0
387,77,0
363,77,0
439,3,0
387,77,0
363,77,0
827,76,1
439,3,0
439,3,1
827,2,1
827,77,0
664,56,1
827,77,0
363,77,0
363,77,0
827,77,0
363,77,0
827,77,0
363,77,0
363,77,0
363,77,0
363,77,0
827,77,1
363,77,0
363,77,0
363,77,0
198,56,1
814,137,1
363,77,1
198,75,1
363,1,0
814,137,1
685,3,0
685,3,0
685,3,0
814,137,0
363,1,0
814,137,0
363,1,0
198,76,1
363,1,0
314,56,1
363,1,0
198,2,1
814,137,0
814,137,0
198,77,0
198,77,0
198,77,1
814,137,1
314,75,1
314,76,1
314,2,1
314,77,0
314,77,0
314,77,0
314,77,0
314,77,0
314,77,0
314,77,0
137,56,1
137,75,0
137,75,0
137,75,1
137,76,1
272,79,0
272,79,1
137,2,1
137,77,0
137,77,0
137,77,0
137,77,0
241,56,1
241,75,1
387,77,1
241,76,1
632,56,1
241,2,0
241,2,0
241,2,0
241,2,0
241,2,0
632,75,1
241,2,1
241,77,0
241,77,0
606,56,1
241,77,0
302,56,1
241,77,0
137,3,0
241,77,0
632,76,1
137,3,0
302,75,1
241,77,0
241,77,0
632,2,1
241,77,0
137,3,0
137,3,0
302,76,0
137,3,0
302,76,1
241,1,0
241,1,0
302,2,0
241,1,0
137,3,0
632,77,0
302,2,0
632,77,0
302,2,1
632,77,0
302,77,0
302,77,0
302,77,1
632,77,0
272,80,0
272,80,1
241,77,0
241,77,1
636,56,1
636,75,1
636,76,1
636,2,1
362,56,1
636,77,0
636,77,0
636,77,0
636,77,1
362,75,1
362,76,1
302,1,0
302,1,0
302,1,0
362,2,0
302,1,1
362,2,1
362,77,0
362,77,0
362,77,0
502,56,1
362,77,0
362,77,0
362,77,0
272,81,0
362,77,0
362,77,0
502,75,1
502,76,1
154,56,1
154,75,0
502,2,0
154,75,1
502,2,0
154,76,1
694,56,1
154,2,0
694,75,1
502,2,0
154,2,0
154,2,1
694,76,1
272,81,0
694,2,0
694,2,0
694,2,1
272,81,1
694,77,0
694,77,0
694,77,0
302,3,0
694,77,0
154,77,1
302,3,0
694,77,1
694,1,0
302,3,0
302,79,0
302,79,1
694,3,0
694,3,0
154,1,0
694,3,0
154,1,0
154,1,1
468,56,1
302,80,0
468,75,0
302,80,0
302,80,0
468,76,1
814,14,1
302,80,0
49,8,1
468,77,0
49,82,1
49,82,1
427,56,1
302,80,0
427,75,1
49,82,0
49,82,1
302,80,1
49,137,1
49,137,1
814,138,0
814,138,1
423,56,1
49,137,0
427,76,0
427,76,0
427,76,0
49,137,0
49,137,0
814,138,0
49,137,0
814,138,1
427,76,0
49,137,0
302,81,0
49,137,0
49,137,0
427,2,0
49,137,0
427,2,0
49,137,0
427,2,1
427,77,0
427,77,0
49,137,1
427,77,0
427,77,0
427,77,1
814,10,1
49,14,1
716,56,1
46,56,1
49,138,1
49,138,0
46,75,0
259,1,0
259,1,0
46,75,0
324,56,1
49,138,1
259,1,1
46,75,0
46,75,0
716,75,1
649,56,1
814,51,1
46,75,0
716,76,1
324,75,1
46,75,0
649,75,1
716,2,1
49,10,0
649,76,0
49,10,1
649,76,0
649,76,1
324,76,1
716,77,0
716,77,0
649,2,1
46,76,0
324,2,0
716,77,0
46,76,0
649,77,0
716,77,0
49,51,1
716,77,0
46,76,0
649,77,0
716,77,0
324,2,0
649,77,1
324,2,1
46,76,1
49,51,1
46,2,0
49,51,0
49,51,1
716,77,1
259,3,0
46,2,0
324,77,0
324,77,0
48,56,1
46,2,0
324,77,0
49,51,1
324,77,0
259,3,0
213,79,0
49,51,1
324,77,0
46,2,0
213,79,1
48,75,1
46,2,1
49,52,1
259,3,0
48,76,1
213,80,0
46,77,0
48,2,1
46,77,0
324,77,0
49,139,1
46,77,0
324,77,0
48,77,0
48,77,0
46,77,0
46,77,0
716,1,0
46,77,0
469,56,1
48,77,0
213,81,0
46,77,0
814,51,0
259,3,0
469,75,1
46,77,1
469,76,1
423,75,0
259,3,0
469,2,1
423,75,1
49,141,1
814,51,1
46,1,0
423,76,1
814,51,1
213,81,0
224,56,1
49,5,0
423,2,0
839,77,0
230,56,1
423,2,0
49,5,0
839,77,1
224,75,0
230,75,1
259,3,0
213,13,1
814,51,1
213,13,0
224,75,1
230,76,1
469,77,1
814,51,1
213,13,0
423,2,0
213,13,1
423,2,1
224,76,1
224,2,0
423,77,0
814,52,1
423,77,0
224,2,1
49,5,0
423,77,0
423,77,0
423,77,0
684,56,1
49,5,1
423,77,0
423,77,0
224,77,0
684,75,1
224,77,0
213,47,0
224,77,0
213,47,0
224,77,0
423,77,1
224,77,1
224,1,0
224,1,0
224,1,0
814,139,1
224,1,0
90,2,0
49,140,1
224,3,0
224,3,0
469,1,0
469,1,0
272,12,0
46,3,1
716,1,0
716,1,1
839,11,1
90,2,1
90,77,0
272,3,0
90,77,0
46,1,0
90,77,0
839,79,1
90,77,1
468,75,0
272,13,1
468,75,0
468,75,0
468,75,0
272,13,1
272,13,0
572,77,0
302,3,0
272,13,0
272,13,1
572,56,1
46,11,0
46,11,0
468,75,0
572,75,1
468,75,0
302,3,0
468,75,0
468,75,0
302,3,0
572,76,1
46,11,0
468,2,0
572,2,0
839,80,0
483,56,1
572,2,0
711,13,0
711,13,0
483,75,0
572,2,1
483,75,1
711,13,0
344,12,1
572,77,0
572,77,0
572,77,0
483,76,1
305,56,1
572,77,0
572,77,0
272,12,0
226,56,1
256,56,1
305,75,1
572,77,0
572,77,0
483,2,1
305,76,1
572,77,0
272,12,0
572,77,1
305,2,1
483,77,0
483,77,0
226,75,1
305,77,0
256,75,1
305,77,0
90,1,0
305,77,0
90,1,0
305,77,0
226,76,1
305,77,0
305,77,0
256,76,1
256,2,1
839,80,0
839,80,0
305,77,1
226,2,1
256,77,0
226,77,0
256,77,0
256,77,0
752,56,1
256,77,0
226,77,0
752,75,1
226,77,0
305,1,0
46,11,0
305,1,0
752,76,1
46,11,0
752,2,1
752,77,0
752,77,0
752,77,0
46,11,0
752,77,0
752,77,0
752,77,0
752,77,0
839,81,0
305,1,0
752,77,1
272,48,0
272,48,1
46,11,0
305,1,0
305,1,1
46,11,0
46,11,1
305,3,1
305,11,0
305,11,0
305,11,0
305,11,0
200,56,1
200,75,1
46,79,0
305,11,0
46,79,1
814,141,0
200,76,1
91,56,1
200,2,1
91,75,0
91,75,1
305,11,0
200,77,0
612,56,1
200,77,0
91,76,1
200,77,0
200,77,1
612,75,0
305,11,0
612,75,1
305,11,0
91,2,1
305,11,0
305,11,0
91,77,0
91,77,0
91,77,0
91,77,0
91,77,0
589,56,1
612,76,1
305,11,0
589,75,1
612,2,1
589,76,1
589,2,0
612,77,0
305,11,0
589,2,1
612,77,0
305,11,0
612,77,0
612,77,0
305,11,1
612,77,0
589,77,0
589,77,0
612,77,1
589,77,0
589,77,0
589,77,0
589,77,0
589,77,0
305,79,1
589,77,1
305,80,0
51,56,1
410,56,1
51,75,1
51,76,1
410,75,1
51,2,1
51,77,0
305,80,0
305,80,0
305,80,0
51,77,0
51,77,0
51,77,0
305,80,0
305,80,0
51,77,0
51,77,0
589,3,1
305,80,0
51,77,1
410,76,1
483,77,0
410,2,1
497,56,1
483,77,0
483,77,0
305,80,0
483,77,0
497,75,1
305,80,0
483,77,1
410,77,1
565,56,1
497,76,1
51,1,0
51,1,0
497,2,1
51,1,1
305,80,1
565,75,1
497,77,0
497,77,0
497,77,0
497,77,0
497,77,0
497,77,0
51,3,0
51,3,0
497,77,0
565,76,1
497,77,1
565,2,0
305,81,0
565,2,0
305,81,1
565,2,0
565,2,1
272,49,1
565,77,0
565,77,0
305,13,1
565,77,0
565,77,0
305,13,1
565,77,0
565,77,0
305,13,0
305,13,0
814,141,1
565,77,0
565,77,0
565,77,0
305,13,0
565,77,0
814,5,0
305,13,0
305,13,0
565,77,1
612,1,0
612,1,0
305,13,1
612,1,0
814,5,0
612,1,0
158,56,1
158,75,1
158,76,1
305,12,0
158,2,0
305,12,0
814,5,0
814,5,0
158,2,1
814,5,0
305,12,0
158,77,0
158,77,0
158,77,0
158,77,0
158,77,0
305,12,0
158,77,0
119,56,1
250,56,1
158,77,0
119,75,1
305,12,1
305,12,0
158,77,0
119,76,1
158,77,1
305,12,0
305,12,0
814,5,0
814,5,0
119,2,1
305,12,0
119,77,0
119,77,0
305,12,0
119,77,0
119,77,0
119,77,0
119,77,0
305,12,0
305,12,0
272,50,1
305,12,0
305,12,0
612,1,0
612,1,0
305,12,0
305,78,0
612,1,0
305,78,0
612,1,0
305,47,0
305,47,0
305,47,1
305,47,0
305,47,1
305,47,0
305,47,0
305,48,1
305,49,0
305,49,0
305,49,0
305,49,0
612,79,0
612,79,0
612,79,1
225,75,1
225,76,0
225,76,1
225,2,0
612,80,0
225,2,1
814,5,0
280,56,1
338,56,1
720,56,1
814,5,0
720,75,1
311,56,1
587,56,1
814,5,1
375,56,1
311,75,1
732,56,1
587,75,0
587,75,0
732,75,1
587,75,0
375,75,1
587,76,1
225,77,0
587,2,0
375,76,1
225,77,0
225,77,0
587,2,1
225,77,0
225,77,0
375,2,1
375,77,0
587,77,0
225,77,1
587,77,0
375,77,0
375,77,0
375,77,0
375,77,1
587,77,0
375,1,0
587,77,0
